Value Set Name,Code System,Logical Definition,Code,Code Description
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C91.A2,"Mature B-cell leukemia Burkitt-type, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C91.Z0,Other lymphoid leukemia not having achieved remission
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C91.Z1,"Other lymphoid leukemia, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C91.Z2,"Other lymphoid leukemia, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.00,"Acute myeloblastic leukemia, not having achieved remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.01,"Acute myeloblastic leukemia, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.02,"Acute myeloblastic leukemia, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.10,"Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.11,"Chronic myeloid leukemia, BCR/ABL-positive, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.12,"Chronic myeloid leukemia, BCR/ABL-positive, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.20,"Atypical chronic myeloid leukemia, BCR/ABL-negative not having achieved remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.21,"Atypical chronic myeloid leukemia, BCR/ABL-negative, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.22,"Atypical chronic myeloid leukemia, BCR/ABL-negative, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.30,"Myeloid sarcoma, not having achieved remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.31,"Myeloid sarcoma, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.32,"Myeloid sarcoma, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.40,"Acute promyelocytic leukemia, not having achieved remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.41,"Acute promyelocytic leukemia, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.42,"Acute promyelocytic leukemia, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.50,"Acute myelomonocytic leukemia, not having achieved remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.51,Acute myelomonocytic in remission
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.52,Acute myelomonocytic in relapse
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.60,Acute myeloid leukemia with 11q23 abnormality not having achieved remission
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.61,Acute myeloid leukemia with 11q23 abnormality in remission
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.62,Acute myeloid leukemia with 11q23 abnormality in relapse
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.90,"Myeloid leukemia, unspecified, not having achieved remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.91,"Myeloid leukemia, unspecified in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.92,"Myeloid leukemia, unspecified in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.A0,Acute myeloid leukemia with multilineage dysplasia not having achieved remission
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.A1,"Acute myeloid leukemia with multilineage dysplasia, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.A2,"Acute myeloid leukemia with multilineage dysplasia, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.Z0,Other myeloid leukemia not having achieved remission
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.Z1,"Other myeloid leukemia, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C92.Z2,"Other myeloid leukemia, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C93.00,"Acute monoblastic/monocytic leukemia, not having achieved remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C93.01,"Acute monoblastic/monocytic leukemia, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C93.02,"Acute monoblastic/monocytic leukemia, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C93.10,Chronic myelomonocytic leukemia not having achieved remission
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C93.11,"Chronic myelomonocytic leukemia, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C93.12,"Chronic myelomonocytic leukemia, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C93.30,Juvenile myelomonocytic leukemia not having achieved remission
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C93.31,"Juvenile myelomonocytic leukemia, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C93.32,"Juvenile myelomonocytic leukemia, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C93.90,"Monocytic leukemia, unspecified, not having achieved remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C93.91,"Monocytic leukemia, unspecified in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C93.92,"Monocytic leukemia, unspecified in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C93.Z0,"Other monocytic leukemia, not having achieved remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C93.Z1,Other monocytic leukemia in remission
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C93.Z2,Other monocytic leukemia in relapse
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.00,"Acute erythroid leukemia, not having achieved remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.01,"Acute erythroid leukemia, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.02,"Acute erythroid leukemia, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.20,Acute megakaryoblastic leukemia not having achieved remission
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.21,"Acute megakaryoblastic leukemia, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.22,"Acute megakaryoblastic leukemia, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.30,Mast cell leukemia not having achieved remission
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.31,"Mast cell leukemia, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.32,"Mast cell leukemia, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.40,Acute panmyelosis with myelofibrosis not having achieved remission
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.41,"Acute panmyelosis with myelofibrosis, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.42,"Acute panmyelosis with myelofibrosis, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.6,"Myelodysplastic disease, not classified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.80,Other specified leukemias not having achieved remission
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.81,"Other specified leukemias, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C94.82,"Other specified leukemias, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C95.00,Acute leukemia of unspecified cell type not having achieved remission
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C95.01,"Acute leukemia of unspecified cell type, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C95.02,"Acute leukemia of unspecified cell type, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C95.10,Chronic leukemia of unspecified cell type not having achieved remission
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C95.11,"Chronic leukemia of unspecified cell type, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C95.12,"Chronic leukemia of unspecified cell type, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C95.90,"Leukemia, unspecified not having achieved remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C95.91,"Leukemia, unspecified, in remission"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C95.92,"Leukemia, unspecified, in relapse"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C96.0,Multifocal and multisystemic (disseminated)  Langerhans-cell histiocytosis
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C96.20,"Malignant mast cell neoplasm, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C96.21,Aggressive systemic mastocytosis
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C96.22,Mast cell sarcoma
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C96.29,Other malignant cell neoplasm
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C96.4,"Sarcoma of dendritic cells (accessory cells) Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C96.5,Multifocal and unisystemic Langerhans-cell histiocytosis
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C96.6,Unifocal Langerhans-cell histiocytosis
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C96.9,"Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C96.A,Histiocytic sarcoma
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,C96.Z,"Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D45,POLYCYTHEMIA VERA
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D46.0,"Refractory anemia without ring sideroblasts, so stated"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D46.1,Refractory anemia with ring sideroblasts
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D46.20,"Refractory anemia with excess of blasts, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D46.21,Refractory anemia with excess of blasts 1
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D46.22,Refractory anemia with excess of blasts 2
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D46.4,"Refractory anemia, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D46.9,"Myelodysplastic syndrome, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D46.B,Refractory cytopenia with multilineage dysplasia and ring sideroblasts
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D46.C,Myelodysplastic syndrome with isolated del (5q) chromosomal abnormality
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D46.Z,Other myelodysplastic syndromes
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D47.02,Systemic mastocytosis
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D47.1,Chronic myeloproliferative disease
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D47.3,Essential (hemorrhagic) thrombocythemia
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D47.4,Osteomyelofibrosis
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D47.9,"Neoplasm of uncertain behavior of lymphoid, hematopoietic and related tissue, unspecified"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D47.Z1,Post-transplant lymphoproliferative disorder (PTLD)
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D47.Z9,"Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D49.6,Neoplasm of unspecified behavior of brain
Primary Malignant Neoplasm Disorder Value Set,ICD-10 CM,,D49.7,Neoplasm of unspecified behavior of endocrine glands and other parts of nervous system
Primary Malignant Neoplasm Disorder Value Set,SNOMED CT,concept is 363346000,,
Procedure Intent Value Set,,,,
Procedure Intent Value Set,SNOMED CT,,129428001,Preventive - intent
Procedure Intent Value Set,SNOMED CT,,261004008,Diagnostic intent
Procedure Intent Value Set,SNOMED CT,,360156006,Screening - procedure intent
Procedure Intent Value Set,SNOMED CT,,363676003,Palliative - procedure intent
Procedure Intent Value Set,SNOMED CT,,373808002,Curative - procedure intent
Procedure Intent Value Set,SNOMED CT,,399707004,Supportive - procedure intent
Procedure Intent Value Set,SNOMED CT,,429892002,Guidance intent
Procedure Intent Value Set,SNOMED CT,,447295008,Forensic intent
Radiotherapy Modality Value Set,,,,
Radiotherapy Modality Value Set,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,,UNC,un-encoded
Radiotherapy Modality Value Set,n/a,Include codes from Teleradiotherapy Modality Value Set,,
Radiotherapy Modality Value Set,n/a,Include codes from Brachytherapy Modality Value Set,,
Radiotherapy Technique Value Set,,,,
Radiotherapy Technique Value Set,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,,UNC,un-encoded
Radiotherapy Technique Value Set,n/a,Include codes from Teleradiotherapy Technique Value Set,,
Radiotherapy Technique Value Set,n/a,Include codes from Brachytherapy Technique Value Set,,
Radiotherapy Treatment Location Qualifier Value Set,,,,
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162613003,Lymph node level XB (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162614009,Lymph node level X (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162615005,Lymph node level XA (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162616006,Lymph node level IA (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162617002,Lymph node level IB (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162618007,Lymph node level VIII (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162619004,Lymph node level IX (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162620005,Lymph node level IVA (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162621009,Lymph node level IVB (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162622002,Lymph node level VA (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162623007,Lymph node level VB (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162624001,Lymph node level VC (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162625000,Lymph node level VIA (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162626004,Lymph node level VIB (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162627008,Lymph node level VIIB (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1162628003,Lymph node level VIIA (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1217011006,Non-adjacent (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1284814003,Lymph node level IIA (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,1284815002,Lymph node level IIB (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,14414005,Peripheral (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,18769003,Juxta-posed (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,24028007,Right (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,255204007,Multiple (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,255503000,Entire (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,255609007,Partial (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,258400004,Lymph node level I (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,258401000,Lymph node level II (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,258402007,Lymph node level III (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,258403002,Lymph node level IV (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,258404008,Lymph node level V (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,258405009,Lymph node level VI (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,260235002,Core (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,260521003,Internal (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,260528009,Middle (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,260548002,Oral (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,261074009,External (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,261089000,Inferior (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,261122009,Lower (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,261183002,Upper (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,26216008,Central (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,264217000,Superior (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,277733009,Level 1 (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,277734003,Level 2 (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,277735002,Level 3 (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,395168005,Lymph node level VII (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,40415009,Proximal (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,410679008,Surface (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,46053002,Distal (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,51440002,Right and left (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,,7771000,Left (qualifier value)
Radiotherapy Treatment Location Qualifier Value Set,SNOMED CT,concept is a descendent of 258399006,,
Radiotherapy Treatment Location Qualifier Value Set,n/a,Include codes from Laterality Qualifier Value Set,,
Radiotherapy Treatment Location Value Set,,,,
Radiotherapy Treatment Location Value Set,SNOMED CT,,10200004,Liver structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,102297006,Main bronchus structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,110822002,Pancreas and jejunum (combined site) (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,111002,Parathyroid structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,113197003,Bone structure of rib (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,113269004,Structure of external iliac artery (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,113276009,Intestinal structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,113305005,Cerebellar structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,11478001,Sacral spinal cord structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,1162492000,Tumor bed (morphologic abnormality)
Radiotherapy Treatment Location Value Set,SNOMED CT,,1172006,Structure of odontoid process of axis (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,117590005,Ear structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,11808007,Structure of second sacral vertebra (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,118645006,Structure of innominate bone and/or sacrum and/or coccyx (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,1186895000,Structure of body of thirteenth  thoracic vertebra (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,1187336003,Presacral lymph node group (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,1187337007,Jugular Fossa (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,118762006,Peritoneal sac structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,119186007,Bone part (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,1193554003,Structure of retrostyloid space (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,1193560003,Bone structure of thirteenth rib (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,12123001,Internal jugular vein structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,12196003,Structure of subscapular axillary lymph node (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,123037004,Body structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,123956007,Anus part (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,124002,Structure of coronoid process of mandible (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,12402003,Scar (morphologic abnormality)
Radiotherapy Treatment Location Value Set,SNOMED CT,,12738006,Brain structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,127938006,Lymph node of aortopulmonary window (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,127949000,Elbow region structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,1285442003,Estimated contoured volume of bowel in peritoneal cavity using radiographic imaging (observable entity)
Radiotherapy Treatment Location Value Set,SNOMED CT,,1285443008,Estimated contoured volume of small bowel in peritoneal cavity using imaging (observable entity)
Radiotherapy Treatment Location Value Set,SNOMED CT,,13014005,Structure of conjunctiva of right eye (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,13024002,Tendon structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,1307006,Glottis structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,13561001,Lacrimal gland structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,13648007,Urethral structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,13881006,Zygomatic bone structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,14016003,Bone marrow structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,14106009,"Cardiac pacemaker, device (physical object)"
Radiotherapy Treatment Location Value Set,SNOMED CT,,14705001,Structure of body of fourth cervical vertebra (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,14742008,Structure of large intestine (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,14806007,Bone structure of atlas (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,15119000,Accessory nerve structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,15328005,Structure of suprasellar region (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,15339008,Bone structure of fifth rib (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,15497006,Ovarian structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,15776009,Pancreatic structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,15825003,Aortic structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,15924003,Maxillary sinus structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,15926001,Brainstem structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,16051009,Structure of apical axillary lymph node (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,16126006,Structure of body of seventh cervical vertebra (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,16630005,Parietal lobe structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,16953009,Elbow joint structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,1732005,Thoracic duct structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,17401000,Cardiac valve structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,181226008,Entire tongue (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,18234004,Optic nerve structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,18252004,Structure of platysma muscle (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,18911002,Penile structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,196662004,Structure of intrapulmonary lymph node (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,196751009,Structure of diaphragmatic lymph node (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,196821008,Structure of innominate lymph node (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,20233005,Scrotal structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,21161002,Glossopharyngeal nerve structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,21306003,Jejunal structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,21387005,Hyoid bone structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,21452006,Structure of fifth sacral vertebra (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,21799000,Structure of body of fifth lumbar vertebra (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,21814001,Cardiac ventricular structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,21974007,Tongue structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,22356005,Bone structure of ilium (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,22565002,Bone structure of ninth rib (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,22718006,Stapes structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,22823000,Structure of sternocleidomastoid muscle (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,23451007,Adrenal structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,24136001,Hip joint structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,244314003,Circumflex humeral artery (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,244327004,Circumflex iliac artery (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,244453006,Structure of optic chiasma (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,245282001,Internal mammary lymph node group (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,245283006,Tracheobronchial lymph node group (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,245288002,Portahepatis lymph node group (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,245294005,Pelvic lymph node group (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,245295006,Common iliac lymph node group (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,245299000,Internal iliac lymph node group (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,245357003,Structure of internal iliac lymph node (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,24915002,Bone structure of seventh rib (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,24924006,Parietal bone structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,24999009,Sphenoid sinus structure (body structure)
Radiotherapy Treatment Location Value Set,SNOMED CT,,25270003,Corpus spongiosum structure (body structure)
