ICD-10-CM Code Specific,"ICD-10-CM Code Definition (FY 2026)
(Category and subcategory codes highlighted in blue)
",General Category,SEER Casefinding List,"NPCR ePath WG
(for epath selection only)",,,,
C84.04,Mycosis fungoides lymph nodes of axilla and upper limb,Hematopoietic neoplasm,Reportable,Core,,,,
C84.05,Mycosis fungoides lymph nodes of inguinal region and lower limb,Hematopoietic neoplasm,Reportable,Core,,,,
C84.06,Mycosis fungoides intrapelvic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C84.07,Mycosis fungoides spleen,Hematopoietic neoplasm,Reportable,Core,,,,
C84.08,Mycosis fungoides lymph nodes of multiple sites,Hematopoietic neoplasm,Reportable,Core,,,,
C84.09,Mycosis fungoides extranodal and solid organ sites,Hematopoietic neoplasm,Reportable,Core,,,,
C84.0A,Mycosis fungoides in remission,Hematopoietic neoplasm,Reportable,Core,,,,
C84.1,Sézary disease,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C84.10,Sézary disease unspecified site,Hematopoietic neoplasm,Reportable,Core,,,,
C84.11,"Sézary disease lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C84.12,Sézary disease intrathoracic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C84.13,Sézary disease intra-abdominal lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C84.14,Sézary disease lymph nodes of axilla and upper limb,Hematopoietic neoplasm,Reportable,Core,,,,
C84.15,Sézary disease lymph nodes of inguinal region and lower limb,Hematopoietic neoplasm,Reportable,Core,,,,
C84.16,Sézary disease intrapelvic lymph nodes,Hematopoietic neoplasm,Reportable,Core,,,,
C84.17,Sézary disease spleen,Hematopoietic neoplasm,Reportable,Core,,,,
C84.18,Sézary disease lymph nodes of multiple sites,Hematopoietic neoplasm,Reportable,Core,,,,
C84.19,Sézary disease extranodal and solid organ sites,Hematopoietic neoplasm,Reportable,Core,,,,
C84.1A,Sézary disease in remission,Hematopoietic neoplasm,Reportable,Core,,,,
C84.4,"Peripheral T-cell lymphoma, not classified",Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C84.40,"Peripheral T-cell lymphoma, not classified unspecified site",Hematopoietic neoplasm,Reportable,Core,,,,
C84.41,"Peripheral T-cell lymphoma, not classified lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C84.42,"Peripheral T-cell lymphoma, not classified intrathoracic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.43,"Peripheral T-cell lymphoma, not classified intra-abdominal lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.44,"Peripheral T-cell lymphoma, not classified lymph nodes of axilla and upper limb",Hematopoietic neoplasm,Reportable,Core,,,,
C84.45,"Peripheral T-cell lymphoma, not classified lymph nodes of inguinal region and lower limb",Hematopoietic neoplasm,Reportable,Core,,,,
C84.46,"Peripheral T-cell lymphoma, not classified intrapelvic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.47,"Peripheral T-cell lymphoma, not classified spleen",Hematopoietic neoplasm,Reportable,Core,,,,
C84.48,"Peripheral T-cell lymphoma, not classified lymph nodes of multiple sites",Hematopoietic neoplasm,Reportable,Core,,,,
C84.49,"Peripheral T-cell lymphoma, not classified extranodal and solid organ sites",Hematopoietic neoplasm,Reportable,Core,,,,
C84.4A,"Peripheral T-cell lymphoma, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C84.6,"Anaplastic large cell lymphoma, ALK-positive",Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C84.60,"Anaplastic large cell lymphoma, ALK-positive unspecified site",Hematopoietic neoplasm,Reportable,Core,,,,
C84.61,"Anaplastic large cell lymphoma, ALK-positive lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C84.62,"Anaplastic large cell lymphoma, ALK-positive intrathoracic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.63,"Anaplastic large cell lymphoma, ALK-positive intra-abdominal lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.64,"Anaplastic large cell lymphoma, ALK-positive lymph nodes of axilla and upper limb",Hematopoietic neoplasm,Reportable,Core,,,,
C84.65,"Anaplastic large cell lymphoma, ALK-positive lymph nodes of inguinal region and lower limb",Hematopoietic neoplasm,Reportable,Core,,,,
C84.66,"Anaplastic large cell lymphoma, ALK-positive intrapelvic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.67,"Anaplastic large cell lymphoma, ALK-positive spleen",Hematopoietic neoplasm,Reportable,Core,,,,
C84.68,"Anaplastic large cell lymphoma, ALK-positive lymph nodes of multiple sites",Hematopoietic neoplasm,Reportable,Core,,,,
C84.69,"Anaplastic large cell lymphoma, ALK-positive extranodal and solid organ sites",Hematopoietic neoplasm,Reportable,Core,,,,
C84.6A,"Anaplastic large cell lymphoma, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C84.7,"Anaplastic large cell lymphoma, ALK-negative",Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C84.70,"Anaplastic large cell lymphoma, ALK-negative unspecified site",Hematopoietic neoplasm,Reportable,Core,,,,
C84.71,"Anaplastic large cell lymphoma, ALK-negative lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C84.72,"Anaplastic large cell lymphoma, ALK-negative intrathoracic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.73,"Anaplastic large cell lymphoma, ALK-negative intra-abdominal lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.74,"Anaplastic large cell lymphoma, ALK-negative lymph nodes of axilla and upper limb",Hematopoietic neoplasm,Reportable,Core,,,,
C84.75,"Anaplastic large cell lymphoma, ALK-negative lymph nodes of inguinal region and lower limb",Hematopoietic neoplasm,Reportable,Core,,,,
C84.76,"Anaplastic large cell lymphoma, ALK-negative intrapelvic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.77,"Anaplastic large cell lymphoma, ALK-negative spleen",Hematopoietic neoplasm,Reportable,Core,,,,
C84.78,"Anaplastic large cell lymphoma, ALK-negative lymph nodes of multiple sites",Hematopoietic neoplasm,Reportable,Core,,,,
C84.79,"Anaplastic large cell lymphoma, ALK-negative extranodal and solid organ sites",Hematopoietic neoplasm,Reportable,Core,,,,
C84.7A,"Anaplastic large cell lymphoma, ALK-negative, breast",Hematopoietic neoplasm,Reportable,Core,,,,
C84.7B,"Anaplastic large cell lymphoma, ALK-negative, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C84.A,"Cutaneous T-cell lymphoma, unspecified",Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C84.A0,"Cutaneous T-cell lymphoma, unspecified, unspecified site",Hematopoietic neoplasm,Reportable,Core,,,,
C84.A1,"Cutaneous T-cell lymphoma, unspecified, lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C84.A2,"Cutaneous T-cell lymphoma, unspecified, intrathoracic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.A3,"Cutaneous T-cell lymphoma, unspecified, intra-abdominal lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.A4,"Cutaneous T-cell lymphoma, unspecified, lymph nodes of axilla and upper limb",Hematopoietic neoplasm,Reportable,Core,,,,
C84.A5,"Cutaneous T-cell lymphoma, unspecified, lymph nodes of inguinal region and lower limb",Hematopoietic neoplasm,Reportable,Core,,,,
C84.A6,"Cutaneous T-cell lymphoma, unspecified, intrapelvic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.A7,"Cutaneous T-cell lymphoma, unspecified, spleen",Hematopoietic neoplasm,Reportable,Core,,,,
C84.A8,"Cutaneous T-cell lymphoma, unspecified, lymph nodes of multiple sites",Hematopoietic neoplasm,Reportable,Core,,,,
C84.A9,"Cutaneous T-cell lymphoma, unspecified, extranodal and solid organ sites",Hematopoietic neoplasm,Reportable,Core,,,,
C84.AA,"Cutaneous T-cell lymphoma, unspecified, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C84.Z,Other mature T/NK-cell lymphomas,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C84.Z0,"Other mature T/NK-cell lymphomas, unspecified site",Hematopoietic neoplasm,Reportable,Core,,,,
C84.Z1,"Other mature T/NK-cell lymphomas, lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C84.Z2,"Other mature T/NK-cell lymphomas, intrathoracic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.Z3,"Other mature T/NK-cell lymphomas, intra-abdominal lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.Z4,"Other mature T/NK-cell lymphomas, lymph nodes of axilla and upper limb",Hematopoietic neoplasm,Reportable,Core,,,,
C84.Z5,"Other mature T/NK-cell lymphomas, lymph nodes of inguinal region and lower limb",Hematopoietic neoplasm,Reportable,Core,,,,
C84.Z6,"Other mature T/NK-cell lymphomas, intrapelvic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.Z7,"Other mature T/NK-cell lymphomas, spleen",Hematopoietic neoplasm,Reportable,Core,,,,
C84.Z8,"Other mature T/NK-cell lymphomas, lymph nodes of multiple sites",Hematopoietic neoplasm,Reportable,Core,,,,
C84.Z9,"Other mature T/NK-cell lymphomas, extranodal and solid organ sites",Hematopoietic neoplasm,Reportable,Core,,,,
C84.ZA,"Other mature T/NK-cell lymphomas, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C84.9,"Mature T/NK-cell lymphomas, unspecified",Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C84.90,"Mature T/NK-cell lymphomas, unspecified, unspecified site",Hematopoietic neoplasm,Reportable,Core,,,,
C84.91,"Mature T/NK-cell lymphomas, unspecified, lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C84.92,"Mature T/NK-cell lymphomas, unspecified, intrathoracic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.93,"Mature T/NK-cell lymphomas, unspecified, intra-abdominal lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.94,"Mature T/NK-cell lymphomas, unspecified, lymph nodes of axilla and upper limb",Hematopoietic neoplasm,Reportable,Core,,,,
C84.95,"Mature T/NK-cell lymphomas, unspecified, lymph nodes of inguinal region and lower limb",Hematopoietic neoplasm,Reportable,Core,,,,
C84.96,"Mature T/NK-cell lymphomas, unspecified, intrapelvic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C84.97,"Mature T/NK-cell lymphomas, unspecified, spleen",Hematopoietic neoplasm,Reportable,Core,,,,
C84.98,"Mature T/NK-cell lymphomas, unspecified, lymph nodes of multiple sites",Hematopoietic neoplasm,Reportable,Core,,,,
C84.99,"Mature T/NK-cell lymphomas, unspecified, extranodal and solid organ sites",Hematopoietic neoplasm,Reportable,Core,,,,
C84.9A,"Mature T/NK-cell lymphomas, unspecified, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C85,Other specified and unspecified types of non-Hodgkin lymphoma,Hematopoietic neoplasm ,Category Code,Category Code (Core),,,,
C85.1,Unspecified B-cell lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C85.10,"Unspecified B-cell lymphoma, unspecified site",Hematopoietic neoplasm,Reportable,Core,,,,
C85.11,"Unspecified B-cell lymphoma, lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C85.12,"Unspecified B-cell lymphoma, intrathoracic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C85.13,"Unspecified B-cell lymphoma, intra-abdominal lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C85.14,"Unspecified B-cell lymphoma, lymph nodes of axilla and upper limb",Hematopoietic neoplasm,Reportable,Core,,,,
C85.15,"Unspecified B-cell lymphoma, lymph nodes of inguinal region and lower limb",Hematopoietic neoplasm,Reportable,Core,,,,
C85.16,"Unspecified B-cell lymphoma, intrapelvic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C85.17,"Unspecified B-cell lymphoma, spleen",Hematopoietic neoplasm,Reportable,Core,,,,
C85.18,"Unspecified B-cell lymphoma, lymph nodes of multiple sites",Hematopoietic neoplasm,Reportable,Core,,,,
C85.19,"Unspecified B-cell lymphoma, extranodal and solid organ sites",Hematopoietic neoplasm,Reportable,Core,,,,
C85.1A,"Unspecified B-cell lymphoma, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C85.2,Mediastinal (thymic) large B-cell lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C85.20,"Mediastinal (thymic) large B-cell lymphoma, unspecified site",Hematopoietic neoplasm,Reportable,Core,,,,
C85.21,"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C85.22,"Mediastinal (thymic) large B-cell lymphoma, intrathoracic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C85.23,"Mediastinal (thymic) large B-cell lymphoma, intra-abdominal lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C85.24,"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of axilla and upper limb",Hematopoietic neoplasm,Reportable,Core,,,,
C85.25,"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of inguinal region and lower limb",Hematopoietic neoplasm,Reportable,Core,,,,
C85.26,"Mediastinal (thymic) large B-cell lymphoma, intrapelvic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C85.27,"Mediastinal (thymic) large B-cell lymphoma, spleen",Hematopoietic neoplasm,Reportable,Core,,,,
C85.28,"Mediastinal (thymic) large B-cell lymphoma, lymph nodes of multiple sites",Hematopoietic neoplasm,Reportable,Core,,,,
C85.29,"Mediastinal (thymic) large B-cell lymphoma, extranodal and solid organ sites",Hematopoietic neoplasm,Reportable,Core,,,,
C85.2A,"Mediastinal (thymic) large B-cell lymphoma, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C85.8,Other specified types of non-Hodgkin lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C85.80,"Other specified types of non-Hodgkin lymphoma, unspecified site",Hematopoietic neoplasm,Reportable,Core,,,,
C85.81,"Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C85.82,"Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C85.83,"Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C85.84,"Other specified types of non-Hodgkin lymphoma, lymph nodes of axilla and upper limb",Hematopoietic neoplasm,Reportable,Core,,,,
C85.85,"Other specified types of non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",Hematopoietic neoplasm,Reportable,Core,,,,
C85.86,"Other specified types of non-Hodgkin lymphoma, intrapelvic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C85.87,"Other specified types of non-Hodgkin lymphoma, spleen",Hematopoietic neoplasm,Reportable,Core,,,,
C85.88,"Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites",Hematopoietic neoplasm,Reportable,Core,,,,
C85.89,"Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites",Hematopoietic neoplasm,Reportable,Core,,,,
C85.8A,"Other specified types of non-Hodgkin lymphoma, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C85.9,"Non-Hodgkin lymphoma, unspecified",Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C85.90,"Non-Hodgkin lymphoma, unspecified, unspecified site",Hematopoietic neoplasm,Reportable,Core,,,,
C85.91,"Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck",Hematopoietic neoplasm,Reportable,Core,,,,
C85.92,"Non-Hodgkin lymphoma, unspecified, intrathoracic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C85.93,"Non-Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C85.94,"Non-Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb",Hematopoietic neoplasm,Reportable,Core,,,,
C85.95,"Non-Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb",Hematopoietic neoplasm,Reportable,Core,,,,
C85.96,"Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes",Hematopoietic neoplasm,Reportable,Core,,,,
C85.97,"Non-Hodgkin lymphoma, unspecified, spleen",Hematopoietic neoplasm,Reportable,Core,,,,
C85.98,"Non-Hodgkin lymphoma, unspecified, lymph nodes of multiple sites",Hematopoietic neoplasm,Reportable,Core,,,,
C85.99,"Non-Hodgkin lymphoma, unspecified, extranodal and solid organ sites",Hematopoietic neoplasm,Reportable,Core,,,,
C85.9A,"Non-Hodgkin lymphoma, unspecified, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C86,Other specified types of T/NK-cell lymphoma,Hematopoietic neoplasm ,Category Code,Category Code (Core),,,,
C86.0,"Extranodal NK/T-cell lymphoma, nasal type",Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C86.00,"Extranodal NK/T-cell lymphoma, nasal type not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C86.01,"Extranodal NK/T-cell lymphoma, nasal type in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C86.1,Hepatosplenic T-cell lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C86.10,Hepatosplenic T-cell lymphoma not having achieved remission,Hematopoietic neoplasm,Reportable,Core,,,,
C86.11,Hepatosplenic T-cell lymphoma in remission,Hematopoietic neoplasm,Reportable,Core,,,,
C86.2,Enteropathy-type (intestinal) T-cell lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C86.20,Enteropathy-type (intestinal) T-cell lymphoma not having achieved remission,Hematopoietic neoplasm,Reportable,Core,,,,
C86.21,Enteropathy-type (intestinal) T-cell lymphoma in remission,Hematopoietic neoplasm,Reportable,Core,,,,
C86.3,Subcutaneous panniculitis-like T-cell lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C86.30,Subcutaneous panniculitis-like T-cell lymphoma not having achieved remission,Hematopoietic neoplasm,Reportable,Core,,,,
C86.31,Subcutaneous panniculitis-like T-cell lymphoma in remission,Hematopoietic neoplasm,Reportable,Core,,,,
C86.4,Blastic NK-cell lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C86.40,Blastic NK-cell lymphoma not having achieved remission,Hematopoietic neoplasm,Reportable,Core,,,,
C86.41,Blastic NK-cell lymphoma in remission,Hematopoietic neoplasm,Reportable,Core,,,,
C86.5,Angioimmunoblastic T-cell lymphoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C86.50,Angioimmunoblastic T-cell lymphoma not having achieved remission,Hematopoietic neoplasm,Reportable,Core,,,,
C86.51,Angioimmunoblastic T-cell lymphoma in remission,Hematopoietic neoplasm,Reportable,Core,,,,
C86.6,Primary cutaneous CD30-positive T-cell proliferations,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C86.60,Primary cutaneous CD30-positive T-cell proliferations not having achieved remission,Hematopoietic neoplasm,Reportable,Core,,,,
C86.61,Primary cutaneous CD30-positive T-cell proliferations in remission,Hematopoietic neoplasm,Reportable,Core,,,,
C88,Malignant immunoproliferative diseases and certain other B-cell lymphomas,Hematopoietic neoplasm ,Category Code,Category Code (Core),,,,
C88.0,Waldenström macroglobulinemia,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C88.00,Waldenström macroglobulinemia not having achieved remission,Hematopoietic neoplasm,Reportable,Core,,,,
C88.01,Waldenström macroglobulinemia in remission,Hematopoietic neoplasm,Reportable,Core,,,,
C88.2,Heavy chain disease,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C88.20,Heavy chain disease,Hematopoietic neoplasm,Reportable,Core,,,,
C88.21,Heavy chain disease,Hematopoietic neoplasm,Reportable,Core,,,,
C88.3,Immunoproliferative small intestinal disease,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C88.30,Immunoproliferative small intestinal disease not having achieved remission,Hematopoietic neoplasm,Reportable,Core,,,,
C88.31,Immunoproliferative small intestinal disease in remission,Hematopoietic neoplasm,Reportable,Core,,,,
C88.4,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma],Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C88.40,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma] not having achieved remission,Hematopoietic neoplasm,Reportable,Core,,,,
C88.41,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma] in remission,Hematopoietic neoplasm,Reportable,Core,,,,
C88.8,Other malignant immunoproliferative diseases,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C88.80,Other malignant immunoproliferative diseases not having achieved remission,Hematopoietic neoplasm,Reportable,Core,,,,
C88.81,Other malignant immunoproliferative diseases in remission,Hematopoietic neoplasm,Reportable,Core,,,,
C88.9,"Malignant immunoproliferative disease, unspecified",Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C88.90,"Malignant immunoproliferative disease, unspecified not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C88.91,"Malignant immunoproliferative disease, unspecified in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C90,Multiple myeloma and malignant plasma cell neoplasms,Hematopoietic neoplasm ,Category Code,Category Code (Core),,,,
C90.0,Multiple myeloma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C90.00,"Multiple myeloma, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C90.01,"Multiple myeloma, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C90.02,"Multiple myeloma, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C90.1,Plasma cell leukemia,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C90.10,"Plasma cell leukemia, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C90.11,"Plasma cell leukemia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C90.12,"Plasma cell leukemia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C90.2,Extramedullary plasmacytoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C90.20,Extramedullary plasmacytoma not having achieved remission,Hematopoietic neoplasm,Reportable,Core,,,,
C90.21,Extramedullary plasmacytoma in remission,Hematopoietic neoplasm,Reportable,Core,,,,
C90.22,Extramedullary plasmacytoma in relapse,Hematopoietic neoplasm,Reportable,Core,,,,
C90.3,Solitary plasmacytoma,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C90.30,"Solitary plasmacytoma, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C90.31,"Solitary plasmacytoma, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C90.32,"Solitary plasmacytoma, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C91,Lymphoid leukemia,Hematopoietic neoplasm ,Category Code,Category Code (Core),,,,
C91.0,Acute lymphoblastic leukemia [ALL],Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C91.00,Acute lymphoblastic leukemia not having achieved remission,Hematopoietic neoplasm,Reportable,Core,,,,
C91.01,"Acute lymphoblastic leukemia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.02,"Acute lymphoblastic leukemia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C91.1,Chronic lymphocytic leukemia of B-cell type,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C91.10,"Chronic lymphocytic leukemia of B-cell type, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.11,"Chronic lymphocytic leukemia of B-cell type, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.12,"Chronic lymphocytic leukemia of B-cell type, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C91.3,Prolymphocytic leukemia of B-cell type,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C91.30,"Prolymphocytic leukemia of B-cell type, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.31,"Prolymphocytic leukemia of B-cell type, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.32,"Prolymphocytic leukemia of B-cell type, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C91.4,Hairy cell leukemia,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C91.40,"Hairy cell leukemia, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.41,"Hairy cell leukemia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.42,"Hairy cell leukemia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C91.5,Adult T-cell lymphoma/leukemia (HTLV-1-associated),Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C91.50,"Adult T-cell lymphoma/leukemia (HTLV-1-associated), not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.51,"Adult T-cell lymphoma/leukemia (HTLV-1-associated), in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.52,"Adult T-cell lymphoma/leukemia (HTLV-1-associated), in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C91.6,Prolymphocytic leukemia of T-cell type,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C91.60,"Prolymphocytic leukemia of T-cell type, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.61,"Prolymphocytic leukemia of T-cell type, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.62,"Prolymphocytic leukemia of T-cell type, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C91.9,"Lymphoid leukemia, unspecified",Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C91.90,"Lymphoid leukemia, unspecified, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.91,"Lymphoid leukemia, unspecified, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.92,"Lymphoid leukemia, unspecified, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C91.A,Mature B-cell leukemia Burkitt-type,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C91.A0,"Mature B-cell leukemia Burkitt-type, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.A1,"Mature B-cell leukemia Burkitt-type, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.A2,"Mature B-cell leukemia Burkitt-type, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C91.Z,Other lymphoid leukemia,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C91.Z0,"Other lymphoid leukemia, not having achieved remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.Z1,"Other lymphoid leukemia, in remission",Hematopoietic neoplasm,Reportable,Core,,,,
C91.Z2,"Other lymphoid leukemia, in relapse",Hematopoietic neoplasm,Reportable,Core,,,,
C92,Myeloid leukemia,Hematopoietic neoplasm ,Category Code,Category Code (Core),,,,
C92.0,Acute myeloblastic leukemia,Hematopoietic neoplasm,Subcategory Code,Subcategory Code (Core),,,,
